"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT04903522","Can the Affects Conveyed by Baroque Music Reduce Anxiety in Patients With Major Depressive Disorder ?","BARHEPSY","Recruiting","No Results Available","Major Depressive Disorder","Behavioral: Baroque music listening","Anxiety assessed by State Trait Anxiety Inventory questionnaire|Qualitative assessment scale of the fluency of consciousness (EQFC)|Experiential phenomenological interviews (EPE)|Depression assessed by Beck Depression Inventory-Second Edition (BDI-II) questionnaire","Centre Hospitalier Intercommunal de Toulon La Seyne sur Mer","All","18 Years and older   (Adult, Older Adult)","Not Applicable","18","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","2021-CHITS-002|2021-A00216-35","May 21, 2021","November 20, 2021","November 20, 2021","May 26, 2021",,"June 9, 2021","Centre Hospitalier Intercommunal Toulon La Seyne sur Mer, Toulon, Var, France",,"https://ClinicalTrials.gov/show/NCT04903522"
12,"NCT03093025","A Study to Evaluate the Safety and Efficacy of TS-121 as an Adjunctive Treatment for Major Depressive Disorder",,"Terminated","Has Results","Major Depressive Disorder","Drug: TS-121 10 mg|Drug: TS-121 50 mg|Drug: Placebo","Montgomery-Asberg Depression Rating Scale (MADRS)|Hamilton Anxiety Scale (HAM-A)|Symptoms of Depression Questionnaire (SDQ)|Clinical Global Impression-Severity (CGI-S)|Clinical Global Impression-Improvement (CGI-I)","Taisho Pharmaceutical R&D Inc.","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","51","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","TS121-US201","July 3, 2017","November 8, 2018","December 4, 2018","March 28, 2017","December 9, 2019","July 14, 2020","Woodland International Research Group, Little Rock, Arkansas, United States|Woodland Research Northwest, Rogers, Arkansas, United States|Collaborative Neuroscience Network, Garden Grove, California, United States|PAREXEL Early Phase Clinical Unit, Glendale, California, United States|Synergy East, Lemon Grove, California, United States|NRC Research Institute, Orange, California, United States|MCB Clinical Research Centers, Colorado Springs, Colorado, United States|Comprehensive Psychiatric Care, Norwich, Connecticut, United States|Compass Research, Orlando, Florida, United States|Atlanta Center for Medical Research, Atlanta, Georgia, United States|Rush University Medical Center, Chicago, Illinois, United States|Chicago Research Center, Chicago, Illinois, United States|Alexian Brothers Behavioral Health Hospital, Hoffman Estates, Illinois, United States|Boston Clinical Trials, Boston, Massachusetts, United States|Midwest Research Group - St. Charles Psychiatric Associates, Saint Charles, Missouri, United States|St. Louis Clinical Trials, Saint Louis, Missouri, United States|Hassman Research Institute, Berlin, New Jersey, United States|Global Medical Institutes, Princeton, New Jersey, United States|SPRI Clinical Trials, Brooklyn, New York, United States|Midwest Clinical Research Center, Dayton, Ohio, United States|IPS Research Company, Oklahoma City, Oklahoma, United States|Grayline Clinical Drug Trials, Wichita Falls, Texas, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/25/NCT03093025/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/25/NCT03093025/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03093025"
13,"NCT04536714","Efficacy of Pythagorean Self-Awareness Intervention for Major Depressive Disorder",,"Completed","No Results Available","Major Depressive Disorder","Behavioral: Pythagorean Self-Awareness Intervention program","Beck Depression Inventory-II|Healthy Lifestyle and Personal Control Questionnaire|Depression-Anxiety-Stress Scale-21|Positive and Negative Affect Schedule|Pittsburg Sleep Quality Index|Brief International Assessment of Cognition for Multiple Sclerosis|Hair cortisol concentration|Salivary cortisol concentration","Evgenia E. Psarraki|National and Kapodistrian University of Athens","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","69","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Prot.1 26/8/2020","December 3, 2018","January 21, 2020","January 21, 2020","September 3, 2020",,"September 3, 2020","Mental Health Center of Peristeri, department of the Psychiatric Hospital of Attica, Ploutonos 19, Peristeri, Attica, Greece",,"https://ClinicalTrials.gov/show/NCT04536714"
14,"NCT04638231","Supportive Text Messaging Versus Supportive E-mail Messaging for Patients With Major Depressive Disorder","STEM","Recruiting","No Results Available","Major Depressive Disorder","Other: Supportive messages","Change in Patient Health Questionnaire (PHQ)-9 scores|Change in the WHO (Five) Well-Being Index (WHO-5)|Change in the Generalized Anxiety Disorder Assessment (GAD-7) score","University of Alberta","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Supportive Care","Pro00105429","April 8, 2021","December 2021","December 2022","November 20, 2020",,"April 14, 2021","Urgent Psychiatric Clinic, Edmonton, Alberta, Canada",,"https://ClinicalTrials.gov/show/NCT04638231"
15,"NCT02925325","Music Therapy for Major Depressive Disorder Residual Symptoms","MTMDDRS","Unknown status","No Results Available","Major Depressive Disorder","Behavioral: Music therapy|Other: Usual Treatment","Hamilton Depression Rating Scale|Clinical Interview for Depression and Related Syndromes|Symptom Checklist 90 Revised (SCL-90-R)|Beck Depression Inventory|WHO Quality of Life-BREF (WHOQOL-BREF)|Personal and social performance scale (PSP)|Perceived stress scale (PSS)","Instituto Nacional de Psiquiatría Dr. Ramón de la Fuente","All","20 Years to 45 Years   (Adult)","Not Applicable","48","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","INPRF_MUS_THER_MDD","October 2016","December 2016","June 2017","October 5, 2016",,"October 5, 2016","Instituto Nacional de Psiquiatria Ramon de la Fuente Muñiz, Mexico City, DF, Mexico",,"https://ClinicalTrials.gov/show/NCT02925325"
16,"NCT03514810","Combined Sertraline and Ketoprofen Administration in Major Depressive Disorder","Srt+ktpMDD","Completed","No Results Available","Major Depressive Disorder","Combination Product: Combined Sertraline & Ketoprofen|Other: Interleukins in MDD after treatment","Reduction in the Beck Depression Inventory-II Score|Decrease in Serum of IL-1β, IL-6, and IL-18 Levels|Body mass index (BMI)","Kufa University","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","28","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","KufaU|Arafataldujaili","January 10, 2017","September 10, 2017","December 31, 2017","May 2, 2018",,"May 3, 2018",,,"https://ClinicalTrials.gov/show/NCT03514810"
17,"NCT01670279","Phase 1 Study to Assess the Safety/Tolerability of Brexpiprazole as Adjunctive Therapy in Elderly Subjects With Major Depressive Disorder",,"Completed","Has Results","Major Depressive Disorder","Drug: Brexpiprazole|Drug: Placebo","Number of Participants Who Tolerated Brexpiprazole|Number of AEs Reported.|Incidence of Laboratory Values of Potential Clinical Significance|Incidence of Vital Signs of Potential Clinical Significance|Incidence of ECG Evaluations of Potential Clinical Significance|Incidence of Physical Examination Evaluation of Potential Clinical Significance|Mean Change From Baseline to Study Completion in Simpson-Angus Scale (SAS) Total Score|Mean Change From Baseline to Study Completion in Barnes Akathisia Global Score|Mean Change From Baseline to Study Completion in Abnormal Involuntary Movement Scale (AIMS) Rating Score.|Change From Baseline to Study Completion in C-SSRS Score.","Otsuka Pharmaceutical Development & Commercialization, Inc.|H. Lundbeck A/S","All","70 Years to 85 Years   (Older Adult)","Phase 1","18","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","331-12-291","July 2012","May 2013","May 2013","August 22, 2012","February 4, 2016","February 4, 2016","Accurate Clinical Trials, Kissimmee, Florida, United States|Miami Jewish Health System, Miami, Florida, United States|St. Louis Clinical Trials, St. Louis, Missouri, United States|CRI Lifetree- Philadelphia Research Center, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT01670279"
18,"NCT04593563","The Safety and Efficacy of Psilocybin in Cancer Patients With Major Depressive Disorder",,"Recruiting","No Results Available","Major Depressive Disorder","Drug: Psilocybin","The Montgomery-Åsberg Depression Rating Scale (MADRS)|Quick Inventory of Depressive Symptomatology Self reported (QIDS-SR)|Maudsley Visual Analogue Scale (VAS) current|Maudley Visual Analogue Scale (VAS) Change.|Pain Visual Analogue Score (VAS)|Hamilton Anxiety Rating Scale-A (HAM-A)|State-Trait Anxiety Inventory (STAI)|National Institute of Health Healing Experience of All Life Stressors (NIH-HEALS)|Patient EQ-5D-5L|Caregiver Oncology Quality of Life Questionnaire (CarGOQol)|DS-II|5 Dimension Altered State of Consciousness (5D-ASC)|Sheehan Disability Score (SDS)|Scale To Assess Therapeutic Relationship: Patient (STAR-P)|Scale To Assess Therapeutic Relationship: Clinician. (STAR-C)|Changes in electrocardiographs.","Maryland Oncology Hematology, PA","All","18 Years and older   (Adult, Older Adult)","Phase 2","30","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","49347","September 1, 2020","October 2022","October 2023","October 20, 2020",,"October 20, 2020","Maryland Oncology Hematology PA, Rockville, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04593563"
19,"NCT01573598","Safety and Efficacy of Vilazodone in Major Depressive Disorder",,"Completed","No Results Available","Major Depressive Disorder","Drug: Placebo|Drug: Vilazodone","Time to first relapse during the double-blind treatment phase","Forest Laboratories","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 4","1219","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","VLZ-MD-02","April 2012","October 2014","January 2015","April 9, 2012",,"May 18, 2015","Forest Investigative Site 030, Beverly Hills, California, United States|Forest Investigative Site 012, Chino, California, United States|Forest Investigative Site 022, Costa Mesa, California, United States|Forest Investigative Site 017, Los Angeles, California, United States|Forest Investigative Site 005, Newport Beach, California, United States|Forest Investigative Site 027, Riverside, California, United States|Forest Investigative Site 026, San Diego, California, United States|Forest Investigative Site 016, Cromwell, Connecticut, United States|Forest Investigative Site 029, Hartford, Connecticut, United States|Forest Investigative Site 020, Doral, Florida, United States|Forest Investigative Site 006, Fort Myers, Florida, United States|Forest Investigative Site 007, Ft. Lauderdale, Florida, United States|Forest Investigative Site 004, Hallandale Beach, Florida, United States|Forest Investigative Site 008, Jacksonville Beach, Florida, United States|Forest Investigative Site 039, Jacksonville, Florida, United States|Forest Investigative Site 015, Leesburg, Florida, United States|Forest Investigative Site 035, Orlando, Florida, United States|Forest Investigative Site 001, West Palm Beach, Florida, United States|Forest Investigative Site 034, Winter Park, Florida, United States|Forest Investigative Site 019, Hoffman Estates, Illinois, United States|Forest Investigative Site 021, Indianapolis, Indiana, United States|Forest Investigative Site 003, Boston, Massachusetts, United States|Forest Investigative Site 013, Weymouth, Massachusetts, United States|Forest Investigative Site 028, Rochester Hills, Michigan, United States|Forest Investigative Site 038, Brooklyn, New York, United States|Forest Investigative Site 037, New York, New York, United States|Forest Investigative Site 032, New York, New York, United States|Forest Investigative Site 009, New York, New York, United States|Forest Investigative Site 014, Durham, North Carolina, United States|Forest Investigative Site 025, Oklahoma City, Oklahoma, United States|Forest Investigative Site 024, Oklahoma City, Oklahoma, United States|Forest Investigative Site 036, Memphis, Tennessee, United States|Forest Investigative Site 023, Dallas, Texas, United States|Forest Investigative Site 011, Houston, Texas, United States|Forest Investigative Site 010, Plano, Texas, United States|Forest Investigative Site 002, San Antonio, Texas, United States|Forest Investigative Site 031, Richmond, Virginia, United States|Forest Investigative Site 033, Bellevue, Washington, United States|Forest Investigative Site 103, Pleven, Bulgaria|Forest Investigative Site 104, Plovdiv, Bulgaria|Forest Investigative Site 106, Sofia, Bulgaria|Forest Investigative Site 102, Sofia, Bulgaria|Forest Investigative Site 304, Helsinki, Etelä-Suomen lääni, Finland|Forest Investigative Site 305, Helsinki, Etelä-Suomen lääni, Finland|Forest Investigative Site 301, Helsinki, Etelä-Suomen lääni, Finland|Forest Investigative Site 303, Rauma, Länsi-Suomen lääni, Finland|Forest Investigative Site 302, Kuopio, Finland|Forest Investigative Site 306, Turku, Finland|Forest Investigative Site 307, Turku, Finland|Forest Investigative Site 401, Hannover, Niedersachsen, Germany|Forest Investigative Site 405, Dresden, Sachsen, Germany|Forest Investigative Site 403, Berlin, Germany|Forest Investigative Site 408, Berlin, Germany|Forest Investigative Site 407, Chemnitz, Germany|Forest Investigative Site 402, Hüttenberg, Germany|Forest Investigative Site 409, Münster, Germany|Forest Investigative Site 404, Nürnberg, Germany|Forest Investigative Site 406, Westerstede, Germany|Forest Investigative Site 602, Bucuresti, Bucureşti, Romania|Forest Investigative Site 601, Arad, Romania|Forest Investigative Site 603, Iasi, Romania|Forest Investigative Site 705, Petrozavodsk, Kareliya, Respublika, Russian Federation|Forest Investigative Site 701, Moscow, Russian Federation|Forest Investigative Site 804, Belgrade, Beograd, Serbia|Forest Investigative Site 806, Nis, Nišava, Serbia|Forest Investigative Site 801, Beograd, Serbia|Forest Investigative Site 802, Beograd, Serbia|Forest Investigative Site 803, Kragujevac, Serbia|Forest Investigative Site 805, Kragujevac, Šumadija, Serbia|Forest Investigative Site 903, Kherson, Khersons'ka Oblast', Ukraine|Forest Investigative Site 901, Lviv, L'vivs'ka Oblast', Ukraine|Forest Investigative Site 905, Lugansk, Luhans'ka Oblast', Ukraine|Forest Investigative Site 906, Odesa, Odes'ka Oblast', Ukraine|Forest Investigative Site 902, Dnipropetrovsk, Ukraine|Forest Investigative Site 904, Simferopol, Ukraine",,"https://ClinicalTrials.gov/show/NCT01573598"
20,"NCT01473381","Safety and Efficacy of Vilazodone in Major Depressive Disorder","VLZ-MD-01","Completed","Has Results","Major Depressive Disorder","Drug: Vilazodone|Drug: Placebo to citalopram|Drug: Placebo to vilazodone|Drug: Citalopram","Change From Baseline in the Montgomery-Åsberg Depression Rating Scale (MADRS) Total Score at Week 10|Change From Baseline to Week 10 in the Clinical Global Impressions-Severity (CGI-S) Scale Score|Percentage of Participants With a Montgomery-Åsberg Depression Rating Scale (MADRS) Sustained Response","Forest Laboratories","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 4","1162","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","VLZ-MD-01","December 2011","June 2013","June 2013","November 17, 2011","August 8, 2014","August 8, 2014","Forest Investigative Site 036, Birmingham, Alabama, United States|Forest Investigative Site 016, Dothan, Alabama, United States|Forest Investigative Site 033, Scottsdale, Arizona, United States|Forest Investigative Site 027, Fayetteville, Arkansas, United States|Forest Investigative Site 029, Cerritos, California, United States|Forest Investigative Site 002, Costa Mesa, California, United States|Forest Investigative Site 019, Murrieta, California, United States|Forest Investigative Site 025, Oceanside, California, United States|Forest Investigative Site 043, Orange, California, United States|Forest Investigative Site 003, Redlands, California, United States|Forest Investigative Site 046, Sherman Oaks, California, United States|Forest Investigative Site 057, Upland, California, United States|Forest Investigative Site 034, Cromwell, Connecticut, United States|Forest Investigative Site 038, Fort Myers, Florida, United States|Forest Investigative Site 018, Gainsville, Florida, United States|Forest Investigative Site 055, Hallandale Beach, Florida, United States|Forest Investigative Site 063, Jacksonville, Florida, United States|Forest Investigative Site 035, Miami, Florida, United States|Forest Investigative Site 030, Orlando, Florida, United States|Forest Investigative Site 062, Orlando, Florida, United States|Forest Investigative Site 045, Pembroke Pines, Florida, United States|Forest Investigative Site 051, Tampa, Florida, United States|Forest Investigative Site 032, West Palm Beach, Florida, United States|Forest Investigative Site 022, Winter Park, Florida, United States|Forest Investigative Site 060, Atlanta, Georgia, United States|Forest Investigative Site 037, Chicago, Illinois, United States|Forest Investigative Site 050, Chicago, Illinois, United States|Forest Investigative Site 040, Indianapolis, Indiana, United States|Forest Investigative Site 012, Lafayette, Indiana, United States|Forest Investigative Site 053, Prairie Village, Kansas, United States|Forest Investigative Site 020, Baltimore, Maryland, United States|Forest Investigative Site 031, Boston, Massachusetts, United States|Forest Investigative Site 061, Las Vegas, Nevada, United States|Forest Investigative Site 024, Willingboro, New Jersey, United States|Forest Investigative Site 010, Albuquerque, New Mexico, United States|Forest Investigative Site 011, Albuquerque, New Mexico, United States|Forest Investigative Site 004, Brooklyn, New York, United States|Forest Investigative Site 007, Cedarhurst, New York, United States|Forest Investigative Site 058, New York City, New York, United States|Forest Investigative Site 047, New York, New York, United States|Forest Investigative Site 039, Cincinnati, Ohio, United States|Forest Investigative Site 042, Oklahoma City, Oklahoma, United States|Forest Investigative Site 048, Oklahoma City, Oklahoma, United States|Forest Investigative Site 066, Portland, Oregon, United States|Forest Investigative Site 014, Allentown, Pennsylvania, United States|Forest Investigative Site 049, Bridgeville, Pennsylvania, United States|Forest Investigative Site 064, Memphis, Tennessee, United States|Forest Investigative Site 013, Austin, Texas, United States|Forest Investigative Site 021, Dallas, Texas, United States|Forest Investigative Site 059, Bellevue, Washington, United States|Forest Investigative Site 065, Seattle, Washington, United States|Forest Investigative Site 054, Spokane, Washington, United States|Forest Investigative Site 052, Middleton, Wisconsin, United States|Forest Investigative Site 056, Milwaukee, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT01473381"
21,"NCT00863798","Study Evaluating Desvenlafaxine Succinate Sustained Release In Adults With Major Depressive Disorder",,"Completed","Has Results","Major Depressive Disorder","Drug: Desvenlafaxine Succinate Sustained-Release 10mg|Drug: Desvenlafaxine Succinate Sustained-Release 50 mg|Drug: placebo","Change From Baseline in HAM-D17 Total Score at Final On-therapy (FOT) Evaluation (Week 8 or ET)|Number of Participants With Categorical Scores on CGI-Improvement (CGI-I) at FOT Evaluation (Week 8 or ET)|Change From Baseline in Mean CGI-S Score at FOT Evaluation (Week 8 or ET)|Change From Baseline in MADRS Total Score at FOT Evaluation (Week 8 or ET)|Change From Baseline in HAM-D6 Total Score at FOT Evaluation (Week 8 or ET)|Number of Participants With a Response on the HAM-D17 at FOT Evaluation (Week 8 or ET)|Number of Participants in Remission Based on the HAM-D17 at FOT Evaluation (Week 8 or ET)|Number of Participants With a Response on the MADRS Score at FOT Evaluation (Week 8 or ET)|Number of Participants With a Response on the CGI-I Score at FOT Evaluation (Week 8 or ET)","Wyeth is now a wholly owned subsidiary of Pfizer|Pfizer","All","18 Years and older   (Adult, Older Adult)","Phase 3","682","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","3151A1-3362|B2061005|3151A1-3362-US","April 2009","March 2010","March 2010","March 18, 2009","May 6, 2011","May 6, 2011","Pfizer Investigational Site, Birmingham, Alabama, United States|Pfizer Investigational Site, Encino, California, United States|Pfizer Investigational Site, Newport Beach, California, United States|Pfizer Investigational Site, Redlands, California, United States|Pfizer Investigational Site, Upland, California, United States|Pfizer Investigational Site, Aurora, Colorado, United States|Pfizer Investigational Site, Denver, Colorado, United States|Pfizer Investigational Site, Cromwell, Connecticut, United States|Pfizer Investigational Site, Maitland, Florida, United States|Pfizer Investigational Site, North Miami, Florida, United States|Pfizer Investigational Site, South Miami, Florida, United States|Pfizer Investigational Site, Indianapolis, Indiana, United States|Pfizer Investigational Site, St. Louis, Missouri, United States|Pfizer Investigational Site, New York, New York, United States|Pfizer Investigational Site, Staten Island, New York, United States|Pfizer Investigational Site, Toledo, Ohio, United States|Pfizer Investigational Site, Eugene, Oregon, United States|Pfizer Investigational Site, Portland, Oregon, United States|Pfizer Investigational Site, Salem, Oregon, United States|Pfizer Investigational Site, Media, Pennsylvania, United States|Pfizer Investigational Site, Herndon, Virginia, United States|Pfizer Investigational Site, Midlothian, Virginia, United States|Pfizer Investigational Site, Middleton, Wisconsin, United States|Pfizer Investigational Site, Waukesha, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT00863798"
22,"NCT00887224","Relapse Prevention Study Of Desvenlafaxine Succinate Sustained Release In Outpatients With Major Depressive Disorder",,"Completed","Has Results","Major Depressive Disorder","Drug: Desvenlafaxine succinate sustained release 50 mg|Drug: Desvenlafaxine succinate sustained release 25 mg|Drug: Placebo","Time to Relapse Following Randomization to the Double-blind (DB) Phase: Estimated Probability (Percent) of Relapse at DB Day 185|Number of Participants Per Categorical Score for Change From Baseline on Clinical Global Impression-Improvement (CGI-I) Scale|Change From Baseline in Clinical Global Impression-Severity of Illness [CGI-S] Score in the Double-blind Phase|Change From Baseline in Hamilton Psychiatric Scale for Depression-17 Item (HAM-D17) Score in the Double-blind Phase|Change From Baseline in Hamilton Psychiatric Scale for Depression-6 Item (HAM-D6) Score in the Double-blind Phase|Number of Participants With Remission Based on Hamilton Psychiatric Scale for Depression-17 Item (HAM-D17) Score at Double-blind Phase Week 26|Change From Baseline of Double-blind Phase in World Health Organization (Five-Item) Well-Being Index|Change From Baseline in Work Productivity and Activity Impairment Questionnaire (WPAI) Score in the Double-blind Phase","Pfizer","All","18 Years and older   (Adult, Older Adult)","Phase 3","874","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","3151A1-3360|B2061004","June 2009","March 2011","March 2011","April 23, 2009","June 27, 2012","November 21, 2014","Pfizer Investigational Site, Beverly Hills, California, United States|Pfizer Investigational Site, Encino, California, United States|Pfizer Investigational Site, Los Alamitos, California, United States|Pfizer Investigational Site, Orange, California, United States|Pfizer Investigational Site, Upland, California, United States|Pfizer Investigational Site, Aurora, Colorado, United States|Pfizer Investigational Site, Jacksonville, Florida, United States|Pfizer Investigational Site, South Miami, Florida, United States|Pfizer Investigational Site, St. Petersburg, Florida, United States|Pfizer Investigational Site, St. Petersburg, Florida, United States|Pfizer Investigational Site, Atlanta, Georgia, United States|Pfizer Investigational Site, Smyrna, Georgia, United States|Pfizer Investigational Site, Hoffman Estates, Illinois, United States|Pfizer Investigational Site, Rockville, Maryland, United States|Pfizer Investigational Site, New York, New York, United States|Pfizer Investigational Site, New York, New York, United States|Pfizer Investigational Site, Rochester, New York, United States|Pfizer Investigational Site, Dayton, Ohio, United States|Pfizer Investigational Site, Portland, Oregon, United States|Pfizer Investigational Site, San Antonio, Texas, United States|Pfizer Investigational Site, Seattle, Washington, United States|Pfizer Investigational Site, Edmonton, Alberta, Canada|Pfizer Investigational Site, Medicine Hat, Alberta, Canada|Pfizer Investigational Site, Kelowna, British Columbia, Canada|Pfizer Investigational Site, Vancouver, British Columbia, Canada|Pfizer Investigational Site, Bathurst, New Brunswick, Canada|Pfizer Investigational Site, Burlington, Ontario, Canada|Pfizer Investigational Site, Ottawa, Ontario, Canada|Pfizer Investigational Site, Toronto, Ontario, Canada|Pfizer Investigational Site, Gatineau, Quebec, Canada|Pfizer Investigational Site, Pointe-Claire, Quebec, Canada|Pfizer Investigational Site, Sherbrooke, Quebec, Canada|Pfizer Investigational Site, Santiago, Chile|Pfizer Investigational Site, Santiago, Chile|Pfizer Investigational Site, Santiago, Chile|Pfizer Investigational Site, Medellin, Antioquia, Colombia|Pfizer Investigational Site, Barranquilla, Atlantico, Colombia|Pfizer Investigational Site, Bogota, Cundinamarca, Colombia|Pfizer Investigational Site, Bucamaranga, Santander, Colombia|Pfizer Investigational Site, Rijeka, Croatia|Pfizer Investigational Site, Zagreb, Croatia|Pfizer Investigational Site, Tallinn, Estonia|Pfizer Investigational Site, Tallinn, Estonia|Pfizer Investigational Site, Tartu, Estonia|Pfizer Investigational Site, Voru, Estonia|Pfizer Investigational Site, Vöru, Estonia|Pfizer Investigational Site, Espoo, Finland|Pfizer Investigational Site, Helsinki, Finland|Pfizer Investigational Site, Joensuu, Finland|Pfizer Investigational Site, Kuopio, Finland|Pfizer Investigational Site, Seinajoki, Finland|Pfizer Investigational Site, Tampere, Finland|Pfizer Investigational Site, Turku, Finland|Pfizer Investigational Site, Caen, France|Pfizer Investigational Site, Dole, France|Pfizer Investigational Site, Douai, France|Pfizer Investigational Site, Orvault, France|Pfizer Investigational Site, Rennes, France|Pfizer Investigational Site, Liepaja, Latvia|Pfizer Investigational Site, Sigulda, Latvia|Pfizer Investigational Site, Sigulda, Latvia|Pfizer Investigational Site, Strenci, Latvia|Pfizer Investigational Site, Kaunas, Lithuania|Pfizer Investigational Site, Kaunas, Lithuania|Pfizer Investigational Site, Vilius, Lithuania|Pfizer Investigational Site, Vilnius, Lithuania|Pfizer Investigational Site, Vilnius, Lithuania|Pfizer Investigational Site, Vilnius, Lithuania|Pfizer Investigational Site, Skorzewo, Poznan, Poland|Pfizer Investigational Site, Szczecin, Poland|Pfizer Investigational Site, Torun, Poland|Pfizer Investigational Site, Tuszyn, Poland|Pfizer Investigational Site, Wroclaw, Poland|Pfizer Investigational Site, Zuromin, Poland|Pfizer Investigational Site, Craiova, Dolj, Romania|Pfizer Investigational Site, Brasov, Romania|Pfizer Investigational Site, Bucharest, Romania|Pfizer Investigational Site, Bucuresti, Romania|Pfizer Investigational Site, Bucuresti, Romania|Pfizer Investigational Site, Cluj Napoca, Romania|Pfizer Investigational Site, Bojnice, Slovakia|Pfizer Investigational Site, Bratislava, Slovakia|Pfizer Investigational Site, Liptovsky Mikulas, Slovakia|Pfizer Investigational Site, Michalovce, Slovakia|Pfizer Investigational Site, Rimavska Sobota, Slovakia|Pfizer Investigational Site, Trencin, Slovakia|Pfizer Investigational Site, Cape Town, Western Cape, South Africa|Pfizer Investigational Site, Durban, South Africa|Pfizer Investigational Site, Paarl, South Africa",,"https://ClinicalTrials.gov/show/NCT00887224"
